機能キー,機能名,概要,サブ機能
inventory,在庫確認,在庫一覧・検索・稼働状況の確認,"在庫一覧|検索|利用可能 / 貸出中 / 修理中"
machine,機械管理,機械台帳の閲覧（参照のみ）,"機械台帳|検索|詳細閲覧"
orders,受注管理,搬入 / 引き取り / 移動の受注管理,"搬入（新規・検索・編集）|引き取り（新規・検索・編集）|移動（新規・検索・編集）"
dispatch,配車,指示書・行動予定の管理と出力,"搬入機械指示書|移動機械指示書|引取機械指示書|トラック行動予定（カレンダー / 一覧 / 出力）"
sites,現場管理,現場登録・検索・詳細編集,"現場一覧|新規登録|検索|詳細・編集"
data,データ管理,データ出力 / レポート / CSV・Excel,"エクスポート|レポート|CSV / Excel"
ar,売掛台帳,売掛一覧・検索・未収金表示,"売掛一覧|検索 / フィルター|未収金表示|詳細"
invoices,請求書発行,請求書一覧と発行・出力,"請求書一覧|新規発行|検索|PDF出力"
adjustment,金額訂正,訂正入力と履歴管理,"訂正対象検索|訂正入力|訂正履歴表示"
repair,修理管理,修理関連のタブ管理,"見積作成（新規・一覧）|社内修理（一覧・登録）|アラート管理|貴社機械（一覧・詳細）"
masters,マスター管理,顧客・機械・社員マスター,"顧客マスター（一覧・登録・検索・詳細）|機械マスター（一覧・登録・検索・詳細）|社員マスター（一覧・登録・検索・詳細）"


